name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
#Horror,11/20/2015,n/a,n/a,IFC,n/a,n/a,/movies/?id=horrorifc.htm
$9.99,12/12/2008,$478,1,Reg.,4,"$52,384",/movies/?id=9dot99.htm
$upercapitalist,8/10/2012,"$8,372",1,Truly,1,"$15,919",/movies/?id=supercapitalist.htm
(500) Days of Summer,7/17/2009,"$834,501",27,FoxS,"1,048","$32,391,374",/movies/?id=500daysofsummer.htm
(Untitled),10/23/2009,"$18,002",3,Gold.,25,"$230,600",/movies/?id=untitled.htm
...And Justice for All,10/19/1979,n/a,n/a,Col.,n/a,"$33,300,000",/movies/?id=andjusticeforall.htm
1 Mile Above,6/7/2013,n/a,n/a,AR,n/a,n/a,/movies/?id=1mileabove.htm
1+1=11,3/28/2003,"$92,342",18,Eros,18,"$132,498",/movies/?id=1plus1.htm
"1,000 Rupee Note",9/23/2016,"$1,697",1,KL,1,"$2,404",/movies/?id=1000rupeenote.htm
"1,000 Times Good Night",10/24/2014,"$24,120",24,FM,24,"$53,895",/movies/?id=1000times.htm
10,10/5/1979,"$3,526,692",706,WB,n/a,"$74,865,517",/movies/?id=10.htm
10 Cloverfield Lane,3/11/2016,"$24,727,437","3,391",Par.,"3,427","$72,082,998",/movies/?id=badrobot2016.htm
10 Days in a Madhouse,11/11/2015,"$4,773",1,CafeP,10,"$14,616",/movies/?id=10daysinamadhouse.htm
10 Items or Less,12/1/2006,"$35,929",15,Think,15,"$83,291",/movies/?id=10itemsorless.htm
10 Questions for the Dalai Lama,4/27/2007,n/a,n/a,Mont.,11,"$224,546",/movies/?id=10questionsforthedalailama.htm
10 Rules for Sleeping Around,4/4/2014,n/a,n/a,Scre.,n/a,n/a,/movies/?id=10rules.htm
10 Things I Hate About You,3/31/1999,"$8,330,681","2,271",BV,"2,311","$38,178,166",/movies/?id=10thingsihateaboutyou.htm
10 to Midnight,3/11/1983,"$3,050,225",595,MGM,595,"$7,175,592",/movies/?id=10tomidnight.htm
10 Years,9/14/2012,"$22,707",3,Anch.,63,"$203,373",/movies/?id=10years.htm
"10,000 B.C.",3/7/2008,"$35,867,488","3,410",WB,"3,454","$94,784,201",/movies/?id=10000bc.htm
"10,000 Km",7/10/2015,"$8,941",11,BG,11,"$12,423",/movies/?id=10000km.htm
100 Bloody Acres,6/28/2013,"$3,419",13,DR,13,"$6,388",/movies/?id=100bloodyacres.htm
The 100-Year Old Man Who Climbed Out the Window and Disappeared,5/1/2015,n/a,n/a,MBox,76,"$944,193",/movies/?id=100yearoldman.htm
1001 Grams,5/8/2015,n/a,n/a,KL,1,"$10,983",/movies/?id=1001grams.htm
101 Dalmatians,1/25/1961,n/a,n/a,Dis.,n/a,"$14,000,000*",/movies/?id=101dalmations.htm
101 Dalmatians (1996),11/27/1996,"$33,504,025","2,794",BV,"2,901","$136,189,294",/movies/?id=101dalmatiansliveaction.htm
101 Dalmatians (Re-issue) (1969),1/1/1969,n/a,n/a,Dis.,n/a,"$18,000,000*",/movies/?id=101dalmatians69.htm
101 Dalmatians (Re-issue) (1979),1/1/1979,n/a,n/a,Dis.,n/a,"$19,000,000*",/movies/?id=101dalmatians79.htm
101 Dalmatians (Re-issue) (1985),12/20/1985,"$2,389,226","1,097",BV,"1,185","$33,049,729*",/movies/?id=101dalmatians85.htm
101 Dalmatians (Re-issue) (1991),7/12/1991,"$10,279,044","1,777",BV,"1,825","$60,830,285*",/movies/?id=101dalmatians91.htm
101 Reykjavik,7/27/2001,"$14,656",2,Men.,2,"$126,404",/movies/?id=101reykjavik.htm
102 Dalmatians,11/22/2000,"$19,883,351","2,704",BV,"2,704","$66,957,026",/movies/?id=102dalmatians.htm
10th & Wolf,8/18/2006,"$20,774",6,Think,6,"$54,702",/movies/?id=10thandwolf.htm
11 Flowers,2/22/2013,"$3,516",2,FRun,2,"$9,213",/movies/?id=11flowers.htm
11-11-11,11/11/2011,"$32,771",17,Rocket,17,"$32,771",/movies/?id=111111.htm
11th Hour,6/12/2015,n/a,n/a,BSM,n/a,n/a,/movies/?id=11thhour15.htm
The 11th Hour,8/17/2007,"$60,853",4,WIP,111,"$707,343",/movies/?id=11thhour.htm
12,3/4/2009,"$12,042",5,SPC,20,"$125,120",/movies/?id=12.htm
12 Angry Men,4/13/1957,n/a,n/a,UA,n/a,n/a,/movies/?id=12angrymen.htm
12 Monkeys,12/29/1995,"$184,776",3,Uni.,"1,629","$57,141,459",/movies/?id=twelvemonkeys.htm
12 O'Clock Boys,1/31/2014,"$44,108",21,Osci.,21,"$82,614",/movies/?id=12oclockboys.htm
12 Rounds,3/27/2009,"$5,329,240","2,331",Fox,"2,331","$12,234,694",/movies/?id=12rounds.htm
12 Years a Slave,10/18/2013,"$923,715",19,FoxS,"1,474","$56,671,993",/movies/?id=twelveyearsaslave.htm
12-12-12,11/15/2013,n/a,2,Wein.,2,n/a,/movies/?id=121212.htm
127 Hours,11/5/2010,"$264,851",4,FoxS,916,"$18,335,230",/movies/?id=127hours.htm
12:08 East of Bucharest,6/6/2007,"$11,586",1,Tar.,4,"$91,881",/movies/?id=1208eastofbucharest.htm
13 Assassins,4/29/2011,"$45,854",4,Magn.,31,"$802,778",/movies/?id=13assassins.htm
13 Conversations About One Thing,5/24/2002,"$89,499",9,SPC,68,"$3,288,164",/movies/?id=13conversationsaboutonething.htm
13 Going on 30,4/23/2004,"$21,054,283","3,438",SonR,"3,453","$57,231,747",/movies/?id=13goingon30.htm
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,"$16,194,738","2,389",Par.,"2,917","$52,853,219",/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
13 Minutes,6/30/2017,"$11,750",3,SPC,19,"$160,450",/movies/?id=13minutes.htm
